Blue Ridge Optics, Hamilton College, June 2026						
LiF on 3-inch Fused Silica wafer. WA0904 Labeled Sample						Map 3, July 29, 2026
Used RC2XF Small Spot Ellipsometer with focused beam						Sample Rotated Clockwise 90 degrees						
Mapping Results						
X (cm)	Y (cm)	LiF Film Thickness, nm	LiF Grading, %	Roughness, nm	Interlayer Thickness # 1, nm	Interlayer EMA Void, %
-2.4	0.6	498.6	4.0	29.8	91.0	18.7
-2.6	0.6	498.5	3.9	29.7	90.7	18.6
-2.8	0.6	498.4	3.8	29.6	90.6	18.5
-3	0.6	497.9	3.7	29.5	90.7	18.2
-3.2	0.6	497.7	3.6	29.3	90.4	17.8
-3.4	0.6	497.8	3.6	29.1	89.7	17.6
-3.4	0.4	497.8	3.7	29.2	90.1	17.7
-3.2	0.4	498.0	3.9	29.2	90.4	18.2
-3	0.4	498.6	4.1	29.5	90.3	18.5
-2.8	0.4	498.5	3.7	29.7	90.8	18.4
-2.6	0.4	498.2	4.0	29.6	91.5	18.7
-2.4	0.4	499.1	4.1	29.6	91.1	18.9
-2.2	0.4	498.5	4.0	29.7	92.1	18.9
-2	0.4	499.1	3.9	29.7	91.6	19.2
-1.8	0.4	499.1	4.0	29.9	92.2	19.1
-1.6	0.4	498.9	4.0	29.8	92.2	19.6
-1.4	0.4	498.9	4.1	29.8	92.6	19.6
-1.2	0.4	498.9	4.3	29.7	93.1	19.6
-1	0.4	499.0	4.2	29.9	93.1	19.9
-0.8	0.4	498.8	4.0	29.7	93.2	19.9
-0.6	0.4	499.2	4.1	29.9	93.1	20.3
-0.4	0.4	499.0	4.2	29.9	93.7	20.2
-0.2	0.4	499.2	3.9	29.9	93.2	20.4
0	0.4	500.0	4.2	30.0	93.2	20.8
0.2	0.4	499.6	4.0	29.8	93.5	20.9
0.4	0.4	499.5	4.2	30.0	93.9	21.0
0.6	0.4	500.2	4.3	30.1	93.4	21.4
0.8	0.4	500.2	4.4	29.9	93.9	21.5
1	0.4	499.6	4.3	29.9	94.6	21.5
1.2	0.4	500.2	4.3	30.0	93.9	21.8
1.4	0.4	499.9	4.3	30.0	94.2	22.0
1.6	0.4	500.0	4.1	29.8	94.3	22.0
1.8	0.4	499.7	3.9	30.0	94.8	21.8
2	0.4	499.3	4.1	29.9	95.3	22.0
2.2	0.4	500.1	4.4	29.9	94.6	22.5
2.4	0.4	500.2	4.2	29.8	94.5	22.6
2.6	0.4	500.2	4.4	29.9	94.4	23.0
2.8	0.4	499.3	4.4	29.7	95.0	22.9
3	0.4	498.8	4.7	29.7	95.7	22.8
3.2	0.4	498.6	4.5	29.4	95.0	22.8
3.4	0.4	497.4	4.5	29.1	95.1	22.7
3.4	0.2	497.8	4.5	28.8	94.7	23.0
3.2	0.2	498.6	4.4	29.5	94.7	23.1
3	0.2	498.6	4.6	29.7	95.8	22.9
2.8	0.2	499.0	4.4	29.9	95.5	23.0
2.6	0.2	499.6	4.4	30.0	95.2	22.9
2.4	0.2	499.4	4.2	29.9	95.2	22.7
2.2	0.2	499.7	4.2	30.1	95.2	22.5
2	0.2	500.0	4.2	30.2	94.9	22.3
1.8	0.2	499.6	4.0	30.1	95.2	22.0
1.6	0.2	500.1	4.3	30.1	94.8	22.1
1.4	0.2	500.1	4.4	30.1	94.7	22.0
1.2	0.2	500.1	4.3	30.2	94.2	22.0
1	0.2	499.6	4.2	30.1	94.6	21.8
0.8	0.2	500.4	4.2	30.0	93.4	21.5
0.6	0.2	499.8	4.3	30.0	94.1	21.4
0.4	0.2	499.5	4.3	30.1	94.0	21.3
0.2	0.2	499.6	4.4	30.0	93.9	21.1
0	0.2	499.9	4.2	30.3	93.4	20.9
-0.2	0.2	498.0	2.8	28.9	92.0	19.3
-0.4	0.2	499.6	4.1	30.1	93.3	20.4
-0.6	0.2	500.0	4.5	30.1	92.8	20.4
-0.8	0.2	499.0	4.1	30.0	93.3	20.2
-1	0.2	499.1	4.0	30.1	92.9	20.1
-1.2	0.2	498.8	4.2	30.0	93.1	19.8
