Blue Ridge Optics, November 2025				
Serial 001: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X(cm)	Y(cm)	LiF_Thickness,nm	LiF_n@632.8nm	Roughness,nm
1.2	-0.6	559.98	1.376	11.43
1	-0.6	559.77	1.378	11.93
0.8	-0.6	559.73	1.378	11.44
0.6	-0.6	560.17	1.377	11.38
0.4	-0.6	559.87	1.378	11.41
0.2	-0.6	560.27	1.378	11.42
0	-0.6	561.22	1.377	11.57
-0.2	-0.6	561.89	1.376	11.87
-0.4	-0.6	561.61	1.376	12.00
-0.6	-0.6	561.45	1.376	12.10
-0.8	-0.6	561.67	1.377	11.77
-1	-0.6	561.56	1.377	12.30
-1.2	-0.6	562.15	1.377	12.11
-1.4	-0.6	562.22	1.376	11.97
-1.6	-0.6	562.14	1.376	12.30
-1.8	-0.6	561.92	1.376	12.98
-2	-0.6	562.14	1.377	12.36
-2.2	-0.6	562.19	1.377	12.39
-2.4	-0.6	562.05	1.377	12.26
-2.6	-0.6	560.09	1.379	12.19
-2.8	-0.6	560.12	1.380	11.69
-3	-0.6	558.61	1.382	10.66
-3.2	-0.6	558.59	1.382	10.96
-3.4	-0.6	558.25	1.384	10.29
-3.4	-0.8	559.83	1.383	11.23
-3.2	-0.8	559.85	1.382	11.17
-3	-0.8	560.07	1.381	11.50
-2.8	-0.8	561.61	1.379	11.68
-2.6	-0.8	561.46	1.378	11.92
-2.4	-0.8	561.86	1.378	12.02
-2.2	-0.8	562.45	1.377	12.72
-2	-0.8	562.45	1.376	12.42
-1.8	-0.8	561.88	1.376	12.00
-1.6	-0.8	561.44	1.377	12.31
-1.4	-0.8	561.73	1.377	12.08
-1.2	-0.8	562.12	1.376	11.95
-1	-0.8	561.89	1.376	11.82
-0.8	-0.8	561.35	1.377	12.07
-0.6	-0.8	561.82	1.376	12.08
-0.4	-0.8	562.56	1.377	11.73
-0.2	-0.8	561.52	1.376	11.78
0	-0.8	560.90	1.377	11.59
0.2	-0.8	559.99	1.378	11.73
0.4	-0.8	560.13	1.378	12.45
0.6	-0.8	560.05	1.378	11.29
0.8	-0.8	559.51	1.378	11.82
1	-0.8	560.02	1.377	11.71
1.2	-0.8	559.54	1.377	11.68
1.4	-0.8	560.05	1.376	11.90
1.6	-0.8	560.25	1.376	12.08
1.8	-0.8	560.36	1.376	11.55
2	-0.8	560.07	1.376	11.33
2.2	-0.8	560.77	1.375	10.93
2.4	-0.8	560.15	1.375	10.85
2.6	-0.8	559.71	1.375	10.92
2.8	-0.8	559.73	1.375	10.77
3	-0.8	559.11	1.375	10.90
3.2	-0.8	558.56	1.376	10.77
3.4	-0.8	559.23	1.377	11.27
3.4	-1	557.70	1.377	9.88
3.2	-1	558.27	1.377	11.39
3	-1	560.32	1.375	13.11
2.6	-1	559.26	1.376	11.45
2.4	-1	560.15	1.375	10.87
2.2	-1	560.23	1.375	11.09
2	-1	561.31	1.376	13.67
1.8	-1	560.53	1.375	10.93
